imdb_id|director
0468569|Christopher Nolan
0449088|Gore Verbinski
1045658|David O
1645170|Larry Charles
1152836|Michael Mann
0114369|David Fincher
0075931|Donald Cammell
1375666|Christopher Nolan
2395427|Joss Whedon
1197624|F
0926084|David Yates
3042408|Baran bo Odar
0133093|Lana Wachowski
0133093|Lilly Wachowski
0450232|Richard Donner
0075686|Woody Allen
0099685|Martin Scorsese
2024469|Jaume Collet-Serra
0113277|Michael Mann
0407887|Martin Scorsese
0455782|Richard Shepard
1911553|Daniel Cohen
0119008|Mike Newell
0111161|Frank Darabont
2024432|Seth Gordon
0317919|J
0399295|Andrew Niccol
0264464|Steven Spielberg
0095016|John McTiernan
0120382|Peter Weir
0382932|Brad Bird
0382932|Jan Pinkava
0289848|Harold Ramis
0088879|Giuseppe Tornatore
0401792|Frank Miller
0401792|Robert Rodriguez
0401792|Quentin Tarantino
0050083|Sidney Lumet
2637276|Seth MacFarlane
2369135|Scott Waugh
0213149|Michael Bay
0405094|Florian Henckel von Donnersmarck
1211956|Mikael Håfström
0465234|Jon Turteltaub
0066999|Don Siegel
2096673|Pete Docter
2096673|Ronnie Del Carmen
0057012|Stanley Kubrick
0120755|John Woo
3498820|Anthony Russo
3498820|Joe Russo
3300542|Babak Najafi
0070355|Ted Post
1951265|Francis Lawrence
1843866|Anthony Russo
1843866|Joe Russo
0080684|Irvin Kershner
0478087|Robert Luketic
1853728|Quentin Tarantino
0450345|Neil LaBute
2908446|Robert Schwentke
0434409|James McTeigue
1754656|Mark Osborne
0167260|Peter Jackson
2333784|Patrick Hughes
0882977|Ric Roman Waugh
0253474|Roman Polanski
1884457|Jesse V
0848228|Joss Whedon
2381249|Christopher McQuarrie
0078788|Francis Ford Coppola
1638002|Christian Ditter
0172495|Ridley Scott
4046784|Wes Ball
0212720|Steven Spielberg
3682448|Steven Spielberg
0496806|Steven Soderbergh
1201607|David Yates
0482571|Christopher Nolan
0440963|Paul Greengrass
0458339|Joe Johnston
2404233|Alex Proyas
0914798|Mark Herman
0393162|Thomas Carter
2302755|Antoine Fuqua
0116830|Walter Hill
0110912|Quentin Tarantino
0137523|David Fincher
0112573|Mel Gibson
1596363|Adam McKay
1951264|Francis Lawrence
0064116|Sergio Leone
0372183|Paul Greengrass
1016301|Luis Piedrahita
1016301|Rodrigo Sopeña
3659388|Ridley Scott
0086250|Brian De Palma
1440129|Peter Berg
0079261|Milos Forman
0097576|Steven Spielberg
2848292|Elizabeth Banks
1320082|Radu Mihaileanu
0068646|Francis Ford Coppola
1028528|Quentin Tarantino
1321870|Ruben Fleischer
2316411|Denis Villeneuve
0033467|Orson Welles
0292506|Roger Donaldson
1748122|Wes Anderson
0266697|Quentin Tarantino
0109830|Robert Zemeckis
0903624|Peter Jackson
0086190|Richard Marquand
0105236|Quentin Tarantino
0395169|Terry George
0086383|Clint Eastwood
0988045|Guy Ritchie
2713180|David Ayer
0435651|Phillip Noyce
1764651|Simon West
1253863|Noam Murro
0076759|George Lucas
0443272|Steven Spielberg
3460252|Quentin Tarantino
3808342|László Nemes
0361748|Quentin Tarantino
0361748|Eli Roth
2980516|James Marsh
0075148|John G
1024648|Ben Affleck
2488496|J
0118715|Joel Coen
0118715|Ethan Coen
0120815|Steven Spielberg
1403865|Ethan Coen
1403865|Joel Coen
0105323|Martin Brest
3312830|Paolo Sorrentino
0121765|George Lucas
0074483|James Fargo
0268978|Ron Howard
1504320|Tom Hooper
0067116|William Friedkin
1637725|Seth MacFarlane
1675434|Olivier Nakache
1675434|Eric Toledano
0121766|George Lucas
0106220|Barry Sonnenfeld
2172985|Jonathan Sobol
1596345|Edward Zwick
1840309|Neil Burger
0108052|Steven Spielberg
0349903|Steven Soderbergh
1860181|Óskar Thór Axelsson
0094226|Brian De Palma
0388482|Louis Leterrier
0088247|James Cameron
0095953|Barry Levinson
0060196|Sergio Leone
0120737|Peter Jackson
1412386|John Madden
1217613|Jonathan Liebesman
2023587|Andrés Muschietti
0092563|Alan Parker
1130884|Martin Scorsese
1381404|Robert Redford
0043265|John Huston
1386697|David Ayer
2883512|Jon Favreau
1049413|Pete Docter
1049413|Bob Peterson
0265086|Ridley Scott
0107290|Steven Spielberg
0167261|Peter Jackson
0368891|Jon Turteltaub
0047478|Akira Kurosawa
0079522|Woody Allen
1135084|John Luessenhop
0101272|Barry Sonnenfeld
2005374|Scott Walker
0088939|Steven Spielberg
0816442|Brian Percival
0266543|Andrew Stanton
0266543|Lee Unkrich
1535108|Neill Blomkamp
0102926|Jonathan Demme
1583421|Jon M
0215750|Jean-Jacques Annaud
2194499|Richard Curtis
1742334|David Ayer
1229238|Brad Bird
0103064|James Cameron
1034032|Mark Neveldine
1034032|Brian Taylor
1515091|Guy Ritchie
1091191|Peter Berg
1981677|Jason Moore
0073486|Milos Forman
0372784|Christopher Nolan
1667889|Steve Martino
1667889|Mike Thurmeier
2084970|Morten Tyldum
0240772|Steven Soderbergh
0082971|Steven Spielberg
1790864|Wes Ball
2310332|Peter Jackson
0396171|Tom Tykwer
0071562|Francis Ford Coppola
1638355|Guy Ritchie
0383574|Gore Verbinski
1899353|Gareth Evans
1020072|Ava DuVernay
2361509|Nancy Meyers
0120586|Tony Kaye
0034583|Michael Curtiz
0110413|Luc Besson
1251757|George Gallo
0293662|Louis Leterrier
0293662|Corey Yuen
0114814|Bryan Singer
0073018|John Frankenheimer
0117060|Brian De Palma
2980648|Lasse Hallström
0790686|Alexandre Aja
0258463|Doug Liman
1483013|Joseph Kosinski
1670345|Louis Leterrier
0338221|Daniel Vávra
1129442|Olivier Megaton
0325980|Gore Verbinski
3110958|Jon M
0122933|Harold Ramis
0790724|Christopher McQuarrie
0097165|Peter Weir
1219289|Neil Burger
1392170|Gary Ross
0454876|Ang Lee
1272878|Baltasar Kormákur
1345836|Christopher Nolan
0993846|Martin Scorsese
0499549|James Cameron
4044364|Laura Poitras
0119217|Gus Van Sant
0120915|George Lucas
1170358|Peter Jackson
1480295|Mark Steven Johnson
0104257|Rob Reiner
1379177|J Blakeson
