imdb_id|genre
0468569|Action
0468569|Crime
0468569|Drama
0449088|Action
0449088|Adventure
0449088|Fantasy
1045658|Comedy
1045658|Drama
1045658|Romance
1645170|Comedy
1645170|Romance
1152836|Biography
1152836|Crime
1152836|Drama
0114369|Crime
0114369|Drama
0114369|Mystery
0075931|Horror
0075931|Sci-Fi
1375666|Action
1375666|Adventure
1375666|Sci-Fi
2395427|Action
2395427|Adventure
2395427|Sci-Fi
1197624|Crime
1197624|Drama
1197624|Thriller
0926084|Adventure
0926084|Family
0926084|Fantasy
3042408|Crime
3042408|Drama
3042408|Thriller
0133093|Action
0133093|Sci-Fi
0450232|Action
0450232|Crime
0450232|Drama
0075686|Comedy
0075686|Romance
0099685|Biography
0099685|Crime
0099685|Drama
2024469|Action
2024469|Mystery
2024469|Thriller
0113277|Action
0113277|Crime
0113277|Drama
0407887|Crime
0407887|Drama
0407887|Thriller
0455782|Adventure
0455782|Comedy
0455782|Drama
1911553|Comedy
0119008|Biography
0119008|Crime
0119008|Drama
0111161|Crime
0111161|Drama
2024432|Comedy
2024432|Crime
0317919|Action
0317919|Adventure
0317919|Thriller
0399295|Crime
0399295|Drama
0399295|Thriller
0264464|Biography
0264464|Crime
0264464|Drama
0095016|Action
0095016|Thriller
0120382|Comedy
0120382|Drama
0120382|Sci-Fi
0382932|Animation
0382932|Comedy
0382932|Family
0289848|Comedy
0289848|Crime
0088879|Crime
0088879|Drama
0401792|Crime
0401792|Thriller
0050083|Crime
0050083|Drama
1553656|Drama
1553656|Mystery
1553656|Sci-Fi
2637276|Comedy
2369135|Action
2369135|Crime
2369135|Drama
1598754|Action
1598754|Crime
1598754|Drama
0213149|Action
0213149|Drama
0213149|History
0405094|Drama
0405094|Thriller
1211956|Action
1211956|Crime
1211956|Mystery
0465234|Action
0465234|Adventure
0465234|Comedy
0066999|Action
0066999|Crime
0066999|Drama
2096673|Animation
2096673|Adventure
2096673|Comedy
0057012|Comedy
0120755|Action
0120755|Adventure
0120755|Romance
3498820|Action
3498820|Adventure
3498820|Sci-Fi
3300542|Action
3300542|Crime
3300542|Drama
0070355|Action
0070355|Crime
0070355|Mystery
1951265|Action
1951265|Drama
1951265|Sci-Fi
1843866|Action
1843866|Adventure
1843866|Sci-Fi
0080684|Action
0080684|Adventure
0080684|Fantasy
0478087|Crime
0478087|Drama
0478087|Thriller
1853728|Drama
1853728|Western
0450345|Horror
0450345|Mystery
0450345|Thriller
2908446|Adventure
2908446|Sci-Fi
2908446|Thriller
0434409|Action
0434409|Drama
0434409|Thriller
1754656|Animation
1754656|Adventure
1754656|Drama
0167260|Action
0167260|Adventure
0167260|Drama
2333784|Action
2333784|Adventure
2333784|Thriller
0882977|Action
0882977|Drama
0882977|Thriller
0253474|Biography
0253474|Drama
0253474|War
1884457|Action
1884457|Crime
1884457|Thriller
0848228|Action
0848228|Sci-Fi
0848228|Thriller
2381249|Action
2381249|Adventure
2381249|Thriller
0078788|Drama
0078788|War
1638002|Comedy
1638002|Romance
0172495|Action
0172495|Adventure
0172495|Drama
4046784|Action
4046784|Sci-Fi
4046784|Thriller
0212720|Adventure
0212720|Drama
0212720|Sci-Fi
3682448|Drama
3682448|History
3682448|Thriller
0496806|Crime
0496806|Thriller
1201607|Adventure
1201607|Drama
1201607|Fantasy
0482571|Drama
0482571|Mystery
0482571|Sci-Fi
0440963|Action
0440963|Mystery
0440963|Thriller
0458339|Action
0458339|Adventure
0458339|Sci-Fi
2404233|Action
2404233|Adventure
2404233|Fantasy
0914798|Drama
0914798|War
0393162|Drama
0393162|Sport
2302755|Action
2302755|Thriller
0116830|Action
0116830|Crime
0116830|Drama
0110912|Crime
0110912|Drama
0137523|Drama
0112573|Biography
0112573|Drama
0112573|History
1596363|Biography
1596363|Comedy
1596363|Drama
1951264|Action
1951264|Adventure
1951264|Mystery
0064116|Romance
0064116|Western
0372183|Action
0372183|Mystery
0372183|Thriller
1016301|Mystery
1016301|Thriller
3659388|Adventure
3659388|Drama
3659388|Sci-Fi
0086250|Crime
0086250|Drama
1440129|Action
1440129|Adventure
1440129|Sci-Fi
0088559|Action
0088559|Adventure
0088559|Crime
0079261|Comedy
0079261|Drama
0079261|Musical
0097576|Action
0097576|Adventure
0097576|Fantasy
2848292|Comedy
2848292|Music
1320082|Comedy
1320082|Drama
1320082|Music
0068646|Crime
0068646|Drama
1028528|Thriller
1321870|Action
1321870|Crime
1321870|Drama
2316411|Mystery
2316411|Thriller
0033467|Drama
0033467|Mystery
0292506|Action
0292506|Drama
0292506|Mystery
1748122|Adventure
1748122|Comedy
1748122|Drama
0266697|Action
0266697|Thriller
0109830|Comedy
0109830|Drama
0903624|Adventure
0903624|Fantasy
0086190|Action
0086190|Adventure
0086190|Fantasy
0105236|Crime
0105236|Drama
0105236|Thriller
0395169|Drama
0395169|History
0395169|War
0086383|Action
0086383|Thriller
0988045|Action
0988045|Adventure
0988045|Crime
2713180|Action
2713180|Drama
2713180|War
0435651|Drama
0435651|Romance
0435651|Sci-Fi
1764651|Action
1764651|Adventure
1764651|Thriller
1253863|Action
1253863|Drama
1253863|Fantasy
0076759|Action
0076759|Adventure
0076759|Fantasy
0443272|Biography
0443272|Drama
0443272|History
3460252|Crime
3460252|Drama
3460252|Mystery
3808342|Drama
3808342|Thriller
3808342|War
0361748|Adventure
0361748|Drama
0361748|War
0944947|Adventure
0944947|Drama
0944947|Fantasy
2980516|Biography
2980516|Drama
2980516|Romance
0075148|Drama
0075148|Sport
1024648|Biography
1024648|Drama
1024648|History
2488496|Action
2488496|Adventure
2488496|Fantasy
0118715|Comedy
0118715|Crime
0120815|Action
0120815|Drama
0120815|War
1403865|Adventure
1403865|Drama
1403865|Western
0105323|Drama
3312830|Comedy
3312830|Drama
3312830|Music
0121765|Action
0121765|Adventure
0121765|Fantasy
0074483|Action
0074483|Crime
0074483|Thriller
0268978|Biography
0268978|Drama
0268978|Romance
1504320|Biography
1504320|Drama
1504320|History
0067116|Action
0067116|Crime
0067116|Drama
1637725|Comedy
1637725|Fantasy
1675434|Biography
1675434|Comedy
1675434|Drama
0121766|Action
0121766|Adventure
0121766|Fantasy
0106220|Comedy
0106220|Fantasy
2172985|Comedy
2172985|Crime
1596345|Biography
1596345|Drama
1840309|Adventure
1840309|Mystery
1840309|Sci-Fi
0108052|Biography
0108052|Drama
0108052|History
0349903|Crime
0349903|Thriller
1860181|Crime
1860181|Thriller
0094226|Crime
0094226|Drama
0094226|Thriller
0388482|Action
0388482|Crime
0388482|Thriller
0088247|Action
0088247|Sci-Fi
0095953|Drama
0060196|Western
0120737|Action
0120737|Adventure
0120737|Drama
1412386|Comedy
1412386|Drama
1217613|Action
1217613|Sci-Fi
2023587|Fantasy
2023587|Horror
0092563|Horror
0092563|Mystery
0092563|Thriller
1130884|Mystery
1130884|Thriller
1381404|Drama
1381404|Thriller
0043265|Adventure
0043265|Drama
0043265|Romance
1386697|Action
1386697|Adventure
1386697|Crime
2883512|Comedy
2883512|Drama
1049413|Animation
1049413|Adventure
1049413|Comedy
0265086|Drama
0265086|History
0265086|War
0107290|Adventure
0107290|Sci-Fi
0107290|Thriller
0167261|Action
0167261|Adventure
0167261|Drama
0368891|Action
0368891|Adventure
0368891|Comedy
0047478|Action
0047478|Adventure
0047478|Drama
0079522|Comedy
0079522|Drama
0079522|Romance
1135084|Action
1135084|Crime
1135084|Thriller
0101272|Comedy
0101272|Fantasy
2005374|Crime
2005374|Drama
2005374|Mystery
0088939|Drama
0816442|Drama
0816442|War
0266543|Animation
0266543|Adventure
0266543|Comedy
1535108|Action
1535108|Drama
1535108|Sci-Fi
0102926|Crime
0102926|Drama
0102926|Thriller
1583421|Action
1583421|Adventure
1583421|Sci-Fi
0215750|Drama
0215750|History
0215750|War
2194499|Comedy
2194499|Drama
2194499|Fantasy
1742334|Action
1742334|Crime
1742334|Drama
1229238|Action
1229238|Adventure
1229238|Thriller
0103064|Action
0103064|Sci-Fi
0103064|Thriller
1034032|Action
1034032|Sci-Fi
1034032|Thriller
1515091|Action
1515091|Adventure
1515091|Crime
1091191|Action
1091191|Biography
1091191|Drama
1981677|Comedy
1981677|Music
1981677|Romance
0073486|Drama
0372784|Action
0372784|Adventure
1667889|Animation
1667889|Adventure
1667889|Comedy
2084970|Biography
2084970|Drama
2084970|Thriller
0240772|Crime
0240772|Thriller
0082971|Action
0082971|Adventure
1790864|Action
1790864|Mystery
1790864|Sci-Fi
2310332|Adventure
2310332|Fantasy
0396171|Crime
0396171|Drama
0396171|Fantasy
0071562|Crime
0071562|Drama
1638355|Action
1638355|Adventure
1638355|Comedy
0383574|Action
0383574|Adventure
0383574|Fantasy
1899353|Action
1899353|Crime
1899353|Thriller
1020072|Biography
1020072|Drama
1020072|History
2361509|Comedy
2361509|Drama
0120586|Crime
0120586|Drama
0285331|Action
0285331|Crime
0285331|Drama
0034583|Drama
0034583|Romance
0034583|War
0110413|Crime
0110413|Drama
0110413|Thriller
1251757|Comedy
1251757|Crime
1251757|Drama
0293662|Action
0293662|Crime
0293662|Thriller
0114814|Crime
0114814|Drama
0114814|Mystery
0073018|Action
0073018|Crime
0073018|Drama
0117060|Action
0117060|Adventure
0117060|Thriller
2980648|Comedy
2980648|Drama
0790686|Horror
0790686|Mystery
0258463|Action
0258463|Mystery
0258463|Thriller
1483013|Action
1483013|Adventure
1483013|Mystery
1670345|Crime
1670345|Mystery
1670345|Thriller
0338221|Action
0338221|Crime
0338221|Drama
1129442|Action
1129442|Adventure
1129442|Crime
0325980|Action
0325980|Adventure
0325980|Fantasy
3110958|Action
3110958|Adventure
3110958|Comedy
0122933|Comedy
0122933|Crime
0790724|Action
0790724|Crime
0790724|Mystery
0097165|Comedy
0097165|Drama
1219289|Mystery
1219289|Sci-Fi
1219289|Thriller
1392170|Adventure
1392170|Drama
1392170|Sci-Fi
0454876|Adventure
0454876|Drama
0454876|Fantasy
1272878|Action
1272878|Comedy
1272878|Crime
1345836|Action
1345836|Thriller
0993846|Biography
0993846|Comedy
0993846|Crime
0499549|Action
0499549|Adventure
0499549|Fantasy
4044364|Documentary
4044364|Biography
4044364|History
0119217|Drama
0120915|Action
0120915|Adventure
0120915|Fantasy
1170358|Adventure
1170358|Fantasy
1480295|Action
1480295|Drama
1480295|Thriller
0104257|Drama
0104257|Thriller
1379177|Crime
1379177|Thriller
